#timebase=1136082944(ps)
,#voltbase=5000000(uV)
#size=4064
4.00000E-03,0.000
8.00000E-03,0.000
1.20000E-02,0.000
1.60000E-02,0.000
2.00000E-02,-0.200
2.40000E-02,0.000
2.80000E-02,0.000
3.20000E-02,0.000
3.60000E-02,0.000
4.00000E-02,0.200
4.40000E-02,0.200
4.80000E-02,0.200
5.20000E-02,0.200
5.60000E-02,-0.200
6.00000E-02,0.000
6.40000E-02,0.000
6.80000E-02,0.000
7.20000E-02,-0.200
7.60000E-02,0.000
8.00000E-02,0.000
8.40000E-02,0.000
8.80000E-02,0.000
9.20000E-02,0.000
9.60000E-02,-0.200
1.00000E-01,-0.200
1.04000E-01,0.000
1.08000E-01,0.200
1.12000E-01,0.200
1.16000E-01,0.200
1.20000E-01,0.200
1.24000E-01,0.200
1.28000E-01,-0.200
1.32000E-01,-0.200
1.36000E-01,0.000
1.40000E-01,-0.200
1.44000E-01,0.000
1.48000E-01,-0.200
1.52000E-01,-0.200
1.56000E-01,0.000
1.60000E-01,-0.200
1.64000E-01,0.000
1.68000E-01,0.000
1.72000E-01,0.000
1.76000E-01,0.000
1.80000E-01,0.000
1.84000E-01,0.000
1.88000E-01,0.000
1.92000E-01,0.200
1.96000E-01,-0.200
2.00000E-01,-0.200
2.04000E-01,0.000
2.08000E-01,-0.200
2.12000E-01,-0.200
2.16000E-01,0.000
2.20000E-01,-0.200
2.24000E-01,0.000
2.28000E-01,0.000
2.32000E-01,0.000
2.36000E-01,0.000
2.40000E-01,-0.200
2.44000E-01,-0.200
2.48000E-01,0.000
2.52000E-01,-0.200
2.56000E-01,0.000
2.60000E-01,0.000
2.64000E-01,0.000
2.68000E-01,0.000
2.72000E-01,0.000
2.76000E-01,-0.200
2.80000E-01,0.000
2.84000E-01,0.200
2.88000E-01,0.000
2.92000E-01,-0.200
2.96000E-01,0.000
3.00000E-01,0.000
3.04000E-01,0.000
3.08000E-01,0.200
3.12000E-01,-0.200
3.16000E-01,-0.200
3.20000E-01,0.000
3.24000E-01,-0.200
3.28000E-01,0.000
3.32000E-01,0.000
3.36000E-01,0.000
3.40000E-01,0.000
3.44000E-01,0.000
3.48000E-01,0.000
3.52000E-01,0.000
3.56000E-01,0.000
3.60000E-01,-0.200
3.64000E-01,0.000
3.68000E-01,0.000
3.72000E-01,-0.200
3.76000E-01,0.000
3.80000E-01,0.200
3.84000E-01,0.200
3.88000E-01,-0.200
3.92000E-01,0.000
3.96000E-01,0.000
4.00000E-01,0.000
4.04000E-01,0.000
4.08000E-01,0.000
4.12000E-01,0.000
4.16000E-01,0.000
4.20000E-01,0.000
4.24000E-01,0.000
4.28000E-01,0.000
4.32000E-01,0.000
4.36000E-01,0.000
4.40000E-01,0.000
4.44000E-01,0.200
4.48000E-01,-0.200
4.52000E-01,-0.200
4.56000E-01,0.000
4.60000E-01,0.200
4.64000E-01,0.200
4.68000E-01,-0.200
4.72000E-01,0.000
4.76000E-01,0.000
4.80000E-01,0.000
4.84000E-01,0.000
4.88000E-01,0.000
4.92000E-01,-0.200
4.96000E-01,-0.200
5.00000E-01,0.000
5.04000E-01,0.200
5.08000E-01,-0.200
5.12000E-01,0.000
5.16000E-01,0.000
5.20000E-01,0.000
5.24000E-01,-0.200
5.28000E-01,0.000
5.32000E-01,-0.200
5.36000E-01,0.000
5.40000E-01,0.200
5.44000E-01,-0.200
5.48000E-01,-0.200
5.52000E-01,0.000
5.56000E-01,-0.200
5.60000E-01,-0.200
5.64000E-01,0.000
5.68000E-01,0.200
5.72000E-01,0.200
5.76000E-01,-0.200
5.80000E-01,-0.200
5.84000E-01,0.000
5.88000E-01,-0.200
5.92000E-01,0.000
5.96000E-01,0.200
6.00000E-01,-0.200
6.04000E-01,0.000
6.08000E-01,0.000
6.12000E-01,0.000
